
代码  x     y     名称          范围  数量  时间
D021 74 53 沃玛战将 30 15  15

D021 41 42 沃玛战士 50 25  13
D021 41 42 沃玛勇士 50 25  14
D021 41 42 沃玛战将 50 25  15

D024 25 24 沃玛战士 30 5  13
D024 25 24 沃玛勇士 30 5  14
D024 25 24 沃玛战将 30 5  15
D024 25 24 火焰沃玛 30 5  15

D024 47 46 沃玛战士 45 15 13
D024 47 46 沃玛勇士 45 15 14
D024 47 46 沃玛战将 45 15 15
D024 47 46 火焰沃玛 45 15 16
D024 47 46 沃玛卫士 45 15 17
D024 47 46 沃玛统领 45 15 25

D024 63 62 沃玛战士 45 15  13
D024 63 62 沃玛勇士 45 15  14
D024 63 62 沃玛战将 45 15  15
D024 63 62 火焰沃玛 45 15  16
D024 63 62 沃玛卫士 45 15  17
D024 63 62 沃玛统领 45 15  25

D024 50 50 沃玛教主 15 1  31

;石墓
D715 200 200 白野猪  400 80 31
D715 200 200 白野猪0 400 10 39
D715 200 200 白野猪1 400 3 45
D715 200 200 蝎蛇统领 400 10 31
D715 200 200 邪恶毒蛇 400 80 33

D716 25 25 楔蛾 25 10 18
D716 25 25 红野猪 25 10 19
D716 25 25 黑野猪 25 10 16
D716 25 25 蝎蛇 25 10 17
D716 25 25 黑色恶蛆 25 10 15

D717 40 60 楔蛾 45 20 18
D717 40 60 黑色恶蛆 45 20 18
D717 40 60 白野猪 45 15 31
D717 40 60 白野猪0 45 3 39
D717 40 60 白野猪1 45 1 45
D717 40 60 蝎蛇统领 45 3 31
D717 40 60 邪恶毒蛇 45 12 31

D717 65 45 楔蛾 45 20 18
D717 65 45 黑色恶蛆 45 20 18
D717 65 45 白野猪 45 15 31
D717 65 45 白野猪0 45 3 39
D717 65 45 白野猪1 45 1 45
D717 65 45 蝎蛇统领 45 3 31
D717 65 45 邪恶毒蛇 45 12 31

D71601 25 25 楔蛾 35 10 16
D71601 25 25 红野猪 35 21 17
D71601 25 25 黑野猪 35 21 18
D71601 25 25 蝎蛇 35 21 17
D71601 25 25 黑色恶蛆 35 15 19

D71602 25 25 楔蛾 35 10 16
D71602 25 25 红野猪 35 21 17
D71602 25 25 黑野猪 35 21 18
D71602 25 25 蝎蛇 35 21 17
D71602 25 25 黑色恶蛆 35 15 19

D71603 25 25 楔蛾 35 10 16
D71603 25 25 红野猪 35 21 17
D71603 25 25 黑野猪 35 21 18
D71603 25 25 蝎蛇 35 21 17
D71603 25 25 黑色恶蛆 35 15 19

D71604 25 25 楔蛾 35 10 16
D71604 25 25 红野猪 35 21 17
D71604 25 25 黑野猪 35 21 18
D71604 25 25 蝎蛇 35 21 17
D71604 25 25 黑色恶蛆 35 15 19

D71605 25 25 楔蛾 35 10 16
D71605 25 25 红野猪 35 21 17
D71605 25 25 黑野猪 35 21 18
D71605 25 25 蝎蛇 35 21 17
D71605 25 25 黑色恶蛆 35 15 19

D71606 25 25 楔蛾 35 10 16
D71606 25 25 红野猪 35 21 17
D71606 25 25 黑野猪 35 21 18
D71606 25 25 蝎蛇 35 21 17
D71606 25 25 黑色恶蛆 35 15 19

D71607 25 25 楔蛾 35 10 16
D71607 25 25 红野猪 35 21 17
D71607 25 25 黑野猪 35 21 18
D71607 25 25 蝎蛇 35 21 17
D71607 25 25 黑色恶蛆 35 15 19

D71608 25 25 楔蛾 35 10 16
D71608 25 25 红野猪 35 21 17
D71608 25 25 黑野猪 35 21 18
D71608 25 25 蝎蛇 35 21 17
D71608 25 25 黑色恶蛆 35 15 19

D71609 25 25 楔蛾 35 10 16
D71609 25 25 红野猪 35 21 17
D71609 25 25 黑野猪 35 21 18
D71609 25 25 蝎蛇 35 21 17
D71609 25 25 黑色恶蛆 35 15 19

D71610 25 25 楔蛾 35 10 16
D71610 25 25 红野猪 35 21 17
D71610 25 25 黑野猪 35 21 18
D71610 25 25 蝎蛇 35 21 17
D71610 25 25 黑色恶蛆 35 15 19

D71611 25 25 楔蛾 35 10 16
D71611 25 25 红野猪 35 21 17
D71611 25 25 黑野猪 35 21 18
D71611 25 25 蝎蛇 35 21 17
D71611 25 25 黑色恶蛆 35 15 19

D71612 25 25 楔蛾 35 10 16
D71612 25 25 红野猪 35 21 17
D71612 25 25 黑野猪 35 21 18
D71612 25 25 蝎蛇 35 21 17
D71612 25 25 黑色恶蛆 35 15 19

D71613 25 25 楔蛾 35 10 16
D71613 25 25 红野猪 35 21 17
D71613 25 25 黑野猪 35 21 18
D71613 25 25 蝎蛇 35 21 17
D71613 25 25 黑色恶蛆 35 15 19

D71614 25 25 楔蛾 35 10 16
D71614 25 25 红野猪 35 21 17
D71614 25 25 黑野猪 35 21 18
D71614 25 25 蝎蛇 35 21 17
D71614 25 25 黑色恶蛆 35 15 19

D71615 25 25 楔蛾 35 10 16
D71615 25 25 红野猪 35 21 17
D71615 25 25 黑野猪 35 21 18
D71615 25 25 蝎蛇 35 21 17
D71615 25 25 黑色恶蛆 35 15 19

D71616 25 25 楔蛾 35 10 16
D71616 25 25 红野猪 35 21 17
D71616 25 25 黑野猪 35 21 18
D71616 25 25 蝎蛇 35 21 17
D71616 25 25 黑色恶蛆 35 15 19

D71617 25 25 楔蛾 35 10 16
D71617 25 25 红野猪 35 21 17
D71617 25 25 黑野猪 35 21 18
D71617 25 25 蝎蛇 35 21 17
D71617 25 25 黑色恶蛆 35 15 19

D71618 25 25 楔蛾 35 10 16
D71618 25 25 红野猪 35 21 17
D71618 25 25 黑野猪 35 21 18
D71618 25 25 蝎蛇 35 21 17
D71618 25 25 黑色恶蛆 35 15 19

D71619 25 25 楔蛾 35 10 16
D71619 25 25 红野猪 35 21 17
D71619 25 25 黑野猪 35 21 18
D71619 25 25 蝎蛇 35 21 17
D71619 25 25 黑色恶蛆 35 15 19

D71620 25 25 楔蛾 35 10 16
D71620 25 25 红野猪 35 21 17
D71620 25 25 黑野猪 35 21 18
D71620 25 25 蝎蛇 35 21 17
D71620 25 25 黑色恶蛆 35 15 19

D71621 25 25 楔蛾 35 10 16
D71621 25 25 红野猪 35 21 17
D71621 25 25 黑野猪 35 21 18
D71621 25 25 蝎蛇 35 21 17
D71621 25 25 黑色恶蛆 35 15 19
     
D71622 25 25 楔蛾 35 10 16
D71622 25 25 红野猪 35 21 17
D71622 25 25 黑野猪 35 21 18
D71622 25 25 蝎蛇 35 21 17
D71622 25 25 黑色恶蛆 35 15 19
     
D71623 25 25 楔蛾 35 10 16
D71623 25 25 红野猪 35 21 17
D71623 25 25 黑野猪 35 21 18
D71623 25 25 蝎蛇 35 21 17
D71623 25 25 黑色恶蛆 35 15 19
     
D71624 25 25 楔蛾 35 10 16
D71624 25 25 红野猪 35 21 17
D71624 25 25 黑野猪 35 21 18
D71624 25 25 蝎蛇 35 21 17
D71624 25 25 黑色恶蛆 35 15 19
     
D71625 25 25 楔蛾 35 10 16
D71625 25 25 红野猪 35 21 17
D71625 25 25 黑野猪 35 21 18
D71625 25 25 蝎蛇 35 21 17
D71625 25 25 黑色恶蛆 35 15 19

D505 100 100 大老鼠 100 30 16
D505 100 100 祖玛弓箭手 100 30 17
D505 100 100 祖玛雕像 100 30 18
D505 100 100 祖玛卫士 100 20 19
D505 100 100 祖玛教主 100 1 31


D5071 20 23  大老鼠 50 20 16
D5071 20 23  祖玛弓箭手 50 10 17
D5071 20 23  祖玛雕像 50 30 18
D5071 20 23  祖玛卫士 50 20 19
D5071 20 23  祖玛教主 50 1 31

;牛魔寺庙
D2079 28 76 牛头魔 40 10 16
D2079 28 76 牛魔斗士 40 10 17
D2079 28 76 牛魔战士 40 10 18
D2079 28 76 牛魔侍卫 40 10 16
D2079 28 76 牛魔将军 40 10 17
D2079 28 76 牛魔法师 40 10 18
D2079 28 76 牛魔祭司 40 10 19

D2079 30 30 牛头魔 40 10 16
D2079 30 30 牛魔斗士 40 10 17
D2079 30 30 牛魔战士 40 10 18
D2079 30 30 牛魔侍卫 40 10 16
D2079 30 30 牛魔将军 40 10 17
D2079 30 30 牛魔法师 40 10 18
D2079 30 30 牛魔祭司 40 10 19

D2079 76 28 牛头魔 40 10 16
D2079 76 28 牛魔斗士 40 10 17
D2079 76 28 牛魔战士 40 10 18
D2079 76 28 牛魔侍卫 40 10 16
D2079 76 28 牛魔将军 40 10 17
D2079 76 28 牛魔法师 40 10 18
D2079 76 28 牛魔祭司 40 10 19

D2079 76 76 牛头魔 40 10 16
D2079 76 76 牛魔斗士 40 10 17
D2079 76 76 牛魔战士 40 10 18
D2079 76 76 牛魔侍卫 40 10 16
D2079 76 76 牛魔将军 40 10 17
D2079 76 76 牛魔法师 40 10 18
D2079 76 76 牛魔祭司 40 10 19

;真天
try_zhentian1 54 42 真天狮子 100 15 31
try_zhentian1 54 42 真天蝙蝠 100 10 15
try_zhentian1 54 42 真天巨魔 100 20 21
try_zhentian1 54 42 真天狮子2 100 1 31
try_zhentian1 54 42 真天蝙蝠2 100 1 35
try_zhentian1 54 42 真天巨魔2 100 1 36

try_zhentian2 25 25 真天狮子 50 10 13
try_zhentian2 25 25 真天蝙蝠 50 5 15
try_zhentian2 25 25 真天巨魔 50 5 16
try_zhentian2 25 25 真天护法 50 1 16
try_zhentian2 25 25 真天狮子0 50 1 21
try_zhentian2 25 25 真天蝙蝠0 50 1 25

try_zhentian3 20 20 真天狮子 50 5 13
try_zhentian3 20 20 真天蝙蝠 50 5 15
try_zhentian3 20 20 真天巨魔 50 5 16
try_zhentian3 20 20 真天护法 50 1 16
try_zhentian3 20 20 真天狮子0 50 1 21
try_zhentian3 20 20 真天蝙蝠0 50 1 25
try_zhentian3 20 20 真天巨魔0 50 1 26
try_zhentian3 20 20 真天狮子2 50 1 31
try_zhentian3 20 20 真天蝙蝠2 50 1 35
try_zhentian3 20 20 真天巨魔2 50 1 36


try_zhentian4 65 132 真天狮子 150 10 13
try_zhentian4 65 132 真天蝙蝠 150 5 15
try_zhentian4 65 132 真天巨魔 150 35 16
try_zhentian4 65 132 真天护法 150 35 16
try_zhentian4 65 132 真天狮子0 150 3 21
try_zhentian4 65 132 真天蝙蝠0 150 3 25
try_zhentian4 65 132 真天巨魔0 150 3 26
try_zhentian4 65 132 真天狮子1 150 1 21
try_zhentian4 65 132 真天蝙蝠1 150 1 25
try_zhentian4 65 132 真天巨魔1 150 1 26
try_zhentian4 65 132 真天狮子2 150 1 31
try_zhentian4 65 132 真天蝙蝠2 150 1 35
try_zhentian4 65 132 真天战神 150 1 28

try_zhentian4 175 72 真天狮子 150 10 13
try_zhentian4 175 72 真天蝙蝠 150 5 15
try_zhentian4 175 72 真天巨魔 150 35 16
try_zhentian4 175 72 真天护法 150 35 16
try_zhentian4 175 72 真天狮子0 150 3 21
try_zhentian4 175 72 真天蝙蝠0 150 3 25
try_zhentian4 175 72 真天巨魔0 150 3 26
try_zhentian4 175 72 真天狮子1 150 1 21
try_zhentian4 175 72 真天蝙蝠1 150 1 25
try_zhentian4 175 72 真天巨魔1 150 1 36
try_zhentian4 175 72 真天巨魔2 150 1 36
try_zhentian4 175 72 真天战神 150 3 28

try_zhentian6 100 100 真天巨魔 250 25 16
try_zhentian6 100 100 真天护法 250 25 16
try_zhentian6 100 100 真天巨魔0 250 3 26
try_zhentian6 100 100 真天巨魔1 250 1 26
try_zhentian6 100 100 真天巨魔2 250 1 36
try_zhentian6 100 100 真天战神 250 5 28
try_zhentian6 100 100 真天战神0 250 1 28

try_zhentianB 25 25 真天巨魔0 50 10 26
try_zhentianB 25 25 真天巨魔1 50 2 26
try_zhentianB 25 25 真天巨魔2 50 1 36
try_zhentianB 25 25 真天战神 50 15 28
try_zhentianB 25 25 真天战神0 50 1 28
try_zhentianB 25 25 真天战神1 50 1 28

try_zhentianok 34 42 真天狮子1 30 5 13
try_zhentianok 34 42 真天蝙蝠1 30 5 15
try_zhentianok 34 42 真天巨魔0 30 5 26
try_zhentianok 34 42 真天巨魔1 30 2 26
try_zhentianok 34 42 真天巨魔2 30 1 36
try_zhentianok 34 42 真天战神 30 3 28
try_zhentianok 34 42 真天战神0 30 1 30
try_zhentianok 34 42 真天战神1 30 1 35
try_zhentianok 34 42 真天战神2 30 1 35


try_zhentianok 20 26 真天战神 10 3 28
try_zhentianok 20 26 真天战神0 10 1 30
try_zhentianok 20 26 真天战神1 10 1 35
try_zhentianok 20 26 真天教主 10 1 45

;火龙
try_huolong1 250 250 火龙虎蛇  500 180 23
try_huolong1 250 250 火龙红蛇  500 130 24
try_huolong1 250 250 火龙蜥蜴  500 80 25
try_huolong1 250 250 火龙蜘蛛  500 30 26
try_huolong1 250 250 火龙虎蛇0 500 20 23
try_huolong1 250 250 火龙红蛇0 500 10 24
try_huolong1 250 250 火龙蜥蜴0 500 15 25
try_huolong1 250 250 火龙蜘蛛0 500 15 26
try_huolong1 250 250 火龙虎蛇1 500 10 23
try_huolong1 250 250 火龙红蛇1 500 10 24
try_huolong1 250 250 火龙蜥蜴1 500 10 25
try_huolong1 250 250 火龙蜘蛛1 500 10 26
try_huolong1 250 250 火龙虎蛇2 500 3 33
try_huolong1 250 250 火龙红蛇2 500 3 34
try_huolong1 250 250 火龙蜥蜴2 500 3 35
try_huolong1 250 250 火龙蜘蛛2 500 3 36


try_huolong2 250 250 火龙虎蛇  500 180 23
try_huolong2 250 250 火龙红蛇  500 160 24
try_huolong2 250 250 火龙蜥蜴  500 80 25
try_huolong2 250 250 火龙蜘蛛  500 50 26
try_huolong2 250 250 火龙将军  500 30 26
try_huolong2 250 250 火龙虎蛇0 500 20 23
try_huolong2 250 250 火龙红蛇0 500 15 24
try_huolong2 250 250 火龙蜥蜴0 500 15 25
try_huolong2 250 250 火龙蜘蛛0 500 15 26
try_huolong2 250 250 火龙将军0 500 15 26
try_huolong2 250 250 火龙虎蛇1 500 5 23
try_huolong2 250 250 火龙红蛇1 500 7 24
try_huolong2 250 250 火龙蜥蜴1 500 7 25
try_huolong2 250 250 火龙蜘蛛1 500 7 26
try_huolong2 250 250 火龙将军1 500 7 26
try_huolong2 250 250 火龙虎蛇2 500 3 33
try_huolong2 250 250 火龙红蛇2 500 3 34
try_huolong2 250 250 火龙蜥蜴2 500 3 35
try_huolong2 250 250 火龙蜘蛛2 500 3 36
try_huolong2 250 250 火龙将军2 500 3 26

try_huolong3 48 80 火龙教主 10 2 35
try_huolong3 65 65 火龙教主 15 2 38
try_huolong3 80 48 火龙教主 10 2 39
try_huolong3 48 80 火龙教主1 10 1 34
try_huolong3 65 65 火龙教主1 15 1 36
try_huolong3 80 48 火龙教主1 10 1 37

try_huolong3 65 65 火龙蜘蛛0 150 30 26
try_huolong3 65 65 火龙将军0 150 30 27
try_huolong3 65 65 火龙蜘蛛1 150 5 26
try_huolong3 65 65 火龙将军1 150 5 33
try_huolong3 65 65 火龙蜘蛛2 150 1 36
try_huolong3 65 65 火龙将军2 150 1 36

try_huolong3 84 42 火龙神 1 1 35

;蚂蚁洞
try_mayicao1 75 75 兵蚁   200 28 21 
try_mayicao1 75 75 工蚁   200 28 22 
try_mayicao1 75 75 火蚁   200 28 23 
try_mayicao1 75 75 兵蚁0  200 2 21 
try_mayicao1 75 75 工蚁0  200 2 22 
try_mayicao1 75 75 火蚁0  200 2 23 
try_mayicao1 75 75 兵蚁1  200 1 25 
try_mayicao1 75 75 工蚁1  200 1 26 
try_mayicao1 75 75 火蚁1  200 1 27 
try_mayicao1 75 75 兵蚁2  200 1 31 
try_mayicao1 75 75 工蚁2  200 1 32 
try_mayicao1 75 75 火蚁2  200 1 33 

try_mayicao2 75 75 兵蚁   250 48 21 
try_mayicao2 75 75 工蚁   250 48 22 
try_mayicao2 75 75 火蚁   250 48 23 
try_mayicao2 75 75 兵蚁0  250 2 21 
try_mayicao2 75 75 工蚁0  250 2 22 
try_mayicao2 75 75 火蚁0  250 2 23 
try_mayicao2 75 75 兵蚁1  250 1 25 
try_mayicao2 75 75 工蚁1  250 1 26 
try_mayicao2 75 75 火蚁1  250 1 27 
try_mayicao2 75 75 兵蚁2  250 1 31 
try_mayicao2 75 75 工蚁2  250 1 32 
try_mayicao2 75 75 火蚁2  250 1 33 

try_mayicao3 100 100 兵蚁   250 42 21 
try_mayicao3 100 100 工蚁   250 42 22 
try_mayicao3 100 100 火蚁   250 42 23 
try_mayicao3 100 100 毒蚁   250 42 23 
try_mayicao3 100 100 兵蚁0  250 3 21 
try_mayicao3 100 100 工蚁0  250 3 22 
try_mayicao3 100 100 火蚁0  250 3 23 
try_mayicao3 100 100 毒蚁0  250 3 23 
try_mayicao3 100 100 兵蚁1  250 2 25 
try_mayicao3 100 100 工蚁1  250 2 26 
try_mayicao3 100 100 火蚁1  250 2 27 
try_mayicao3 100 100 毒蚁1  250 2 23 
try_mayicao3 100 100 兵蚁2  250 1 31 
try_mayicao3 100 100 工蚁2  250 1 32 
try_mayicao3 100 100 火蚁2  250 1 33 
try_mayicao3 100 100 毒蚁2  250 1 24 


try_mayicao4 75 75 兵蚁   150 42 21 
try_mayicao4 75 75 工蚁   150 42 22 
try_mayicao4 75 75 火蚁   150 42 23 
try_mayicao4 75 75 毒蚁   150 42 23 
try_mayicao4 75 75 兵蚁0  150 3 21 
try_mayicao4 75 75 工蚁0  150 3 22 
try_mayicao4 75 75 火蚁0  150 3 23 
try_mayicao4 75 75 毒蚁0  150 3 23 
try_mayicao4 75 75 兵蚁1  150 2 25 
try_mayicao4 75 75 工蚁1  150 2 26 
try_mayicao4 75 75 火蚁1  150 2 27 
try_mayicao4 75 75 毒蚁1  150 2 23 
try_mayicao4 75 75 兵蚁2  150 1 31 
try_mayicao4 75 75 工蚁2  150 1 32 
try_mayicao4 75 75 火蚁2  150 1 33 
try_mayicao4 75 75 毒蚁2  150 1 24 


try_mayicao5 50 50 兵蚁   200 12 21 
try_mayicao5 50 50 工蚁   200 12 22 
try_mayicao5 50 50 火蚁   200 12 23 
try_mayicao5 50 50 毒蚁   200 12 23 
try_mayicao5 50 50 兵蚁0  200 3 21 
try_mayicao5 50 50 工蚁0  200 3 22 
try_mayicao5 50 50 火蚁0  200 3 23 
try_mayicao5 50 50 毒蚁0  200 3 23 
try_mayicao5 50 50 兵蚁2  200 1 31 
try_mayicao5 50 50 工蚁2  200 1 32 
try_mayicao5 50 50 火蚁2  200 1 33 
try_mayicao5 50 50 毒蚁2  200 1 34 
try_mayicao5 50 50 蚁后   200 1 35

;寒冰
try_hanbing1 120 120  雪甲虫    120 25 24
try_hanbing1 120 120  雪人      120 25 25
try_hanbing1 120 120  雪原战士  120 15 26
try_hanbing1 120 120  雪原巫女  120 15 27
try_hanbing1 120 120  雪甲虫0   120 2 24
try_hanbing1 120 120  雪人0     120 2 25
try_hanbing1 120 120  雪原战士0 120 2 26
try_hanbing1 120 120  雪原巫女0 120 2 27
try_hanbing1 120 120  雪甲虫1   120 1 24
try_hanbing1 120 120  雪人1     120 1 25
try_hanbing1 120 120  雪原战士1 120 1 26
try_hanbing1 120 120  雪原巫女1 120 1 27
try_hanbing1 120 120  雪甲虫2   120 1 34
try_hanbing1 120 120  雪人2     120 1 35
try_hanbing1 120 120  雪原战士2 120 1 36
try_hanbing1 120 120  雪原巫女2 120 1 37

try_hanbing1 60 60  雪甲虫    120 25 24
try_hanbing1 60 60  雪人      120 25 25
try_hanbing1 60 60  雪原战士  120 15 26
try_hanbing1 60 60  雪原巫女  120 15 27
try_hanbing1 60 60  雪甲虫0   120 2 24
try_hanbing1 60 60  雪人0     120 2 25
try_hanbing1 60 60  雪原战士0 120 2 26
try_hanbing1 60 60  雪原巫女0 120 2 27
try_hanbing1 60 60  雪甲虫1   120 1 24
try_hanbing1 60 60  雪人1     120 1 25
try_hanbing1 60 60  雪原战士1 120 1 26
try_hanbing1 60 60  雪原巫女1 120 1 27
try_hanbing1 60 60  雪甲虫2   120 1 34
try_hanbing1 60 60  雪人2     120 1 35
try_hanbing1 60 60  雪原战士2 120 1 36
try_hanbing1 60 60  雪原巫女2 120 1 37


try_hanbing2 75 75 雪甲虫    190 65 24
try_hanbing2 75 75 雪人      190 55 25
try_hanbing2 75 75 雪原战士  190 25 26
try_hanbing2 75 75 雪原巫女  190 15 27
try_hanbing2 75 75 雪甲虫0   190 2 24
try_hanbing2 75 75 雪人0     190 2 25
try_hanbing2 75 75 雪原战士0 190 2 26
try_hanbing2 75 75 雪原巫女0 190 2 27
try_hanbing2 75 75 雪甲虫1   190 1 24
try_hanbing2 75 75 雪人1     190 1 25
try_hanbing2 75 75 雪原战士1 190 1 26
try_hanbing2 75 75 雪原巫女1 190 1 27
try_hanbing2 75 75 雪甲虫2   190 1 34
try_hanbing2 75 75 雪人2     190 1 35
try_hanbing2 75 75 雪原战士2 190 1 36
try_hanbing2 75 75 雪原巫女2 190 1 37

try_hanbing3 81 30 雪甲虫    30  8 24
try_hanbing3 81 30 雪人      30  8 25
try_hanbing3 81 30 雪原战士  30  8 26
try_hanbing3 81 30 雪原巫女  30  8 27
try_hanbing3 81 30 雪原战士2 30  1 35
try_hanbing3 81 30 雪原巫女2 30  1 35


try_hanbing3 36 36 雪甲虫    30  8 24
try_hanbing3 36 36 雪人      30  8 25
try_hanbing3 36 36 雪原战士  30  8 26
try_hanbing3 36 36 雪原巫女  30  8 27
try_hanbing3 36 36 雪甲虫2   30  1 35
try_hanbing3 36 36 雪人2     30  1 35

try_hanbing3 72 72 雪甲虫    30  8 24
try_hanbing3 72 72 雪人      30  8 25
try_hanbing3 72 72 雪原战士  30  8 26
try_hanbing3 72 72 雪原巫女  30  8 27
try_hanbing3 72 72 雪甲虫2   30  1 35
try_hanbing3 72 72 雪人2     30  1 35

try_hanbing3 75 75 雪甲虫    300  40 24
try_hanbing3 75 75 雪人      300  30 25
try_hanbing3 75 75 雪原战士  300  10 26
try_hanbing3 75 75 雪原巫女  300  5 27
try_hanbing3 75 75 雪甲虫0   300 2 24
try_hanbing3 75 75 雪人0     300 2 25
try_hanbing3 75 75 雪原战士0 300 2 26
try_hanbing3 75 75 雪原巫女0 300 2 27
try_hanbing3 75 75 雪甲虫1   300 1 24
try_hanbing3 75 75 雪人1     300 1 25
try_hanbing3 75 75 雪原战士1 300 1 26
try_hanbing3 75 75 雪原巫女1 300 1 27


try_hanbing4 150 150 雪甲虫    300  70 24
try_hanbing4 150 150 雪人      300  40 25
try_hanbing4 150 150 雪原战士  300  20 26
try_hanbing4 150 150 雪原力士  300  20 26
try_hanbing4 150 150 雪原巫女  300  10 27
try_hanbing4 150 150 雪甲虫0   300 2 24
try_hanbing4 150 150 雪人0     300 2 25
try_hanbing4 150 150 雪原战士0 300 2 26
try_hanbing4 150 150 雪原力士0 300 2 26
try_hanbing4 150 150 雪原巫女0 300 2 27
try_hanbing4 150 150 雪甲虫1   300 1 24
try_hanbing4 150 150 雪人1     300 1 25
try_hanbing4 150 150 雪原战士1 300 1 26
try_hanbing4 150 150 雪原巫女1 300 1 27
try_hanbing4 150 150 雪原力士1 300 1 26
try_hanbing4 150 150 雪甲虫2   300 1 34
try_hanbing4 150 150 雪人2     300 1 35
try_hanbing4 150 150 雪原战士2 300 1 36
try_hanbing4 150 150 雪原巫女2 300 1 37
try_hanbing4 150 150 雪原力士2 300 1 36
try_hanbing4 150 150 雪原霸主  300 2 45
try_hanbing4 150 150 雪原霸主0 300 1 48
try_hanbing4 150 150 雪原霸主1 300 1 60

try_hanbing4 200 80 雪甲虫    300  20 24
try_hanbing4 200 80 雪人      300  20 25
try_hanbing4 200 80 雪原战士  300  10 26
try_hanbing4 200 80 雪原力士  300  5 26
try_hanbing4 200 80 雪原巫女  300  3 27
try_hanbing4 200 80 雪甲虫2   300 1 34
try_hanbing4 200 80 雪人2     300 1 35
try_hanbing4 200 80 雪原霸主     300 1 45

try_bingxuedl3 700 700 雪原巡游者   2100 300 40
try_bingxuedl3 700 700 雪原战士     2100 300 41
try_bingxuedl3 700 700 雪原斧王     2100 200 42
try_bingxuedl3 700 700 雪原战狼     2100 200 43
try_bingxuedl3 700 700 雪原狼人     2100 100 44
try_bingxuedl3 700 700 雪原巡游者0  2100 80 41
try_bingxuedl3 700 700 雪原战士0    2100 80 42
try_bingxuedl3 700 700 雪原斧王0    2100 50 43
try_bingxuedl3 700 700 雪原战狼0    2100 50 44
try_bingxuedl3 700 700 雪原狼人0    2100 20 45
try_bingxuedl3 700 700 雪原巡游者1  2100 10 41
try_bingxuedl3 700 700 雪原战士1    2100 10 42
try_bingxuedl3 700 700 雪原斧王1    2100 10 43
try_bingxuedl3 700 700 雪原战狼1    2100 10 44
